Sample	featurecounts-Assigned	featurecounts-percent_assigned	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
O22C2	1.2853949999999998	38.85591936896823	6.264242827965161	56.73498168083718	45.0	53.14653853292488	20	45.45454545454545	3.308106
O22C3	0.782319	25.31209020112965	6.5375364466948245	36.55866241631026	46.0	58.1742240822857	84	27.27272727272727	3.0906949999999997
O22C4	1.010116	30.926005018010034	6.931659196273145	39.55167910461377	46.0	59.05254349271042	84	45.45454545454545	3.266237
O22C5	0.8173269999999999	24.813773815639113	6.644420519091915	32.2885293051621	46.0	60.64944293084741	84	27.27272727272727	3.293846
O22C6	1.1816339999999999	41.68500504819955	6.2846910847716915	60.398239531959945	44.0	51.376243264657596	20	45.45454545454545	2.8346739999999997
O22C7	0.6970959999999999	22.602590931286564	6.459512750862996	32.887234780064816	46.0	61.2605868990468	84	18.181818181818183	3.084142
O22C8	0.730043	24.555446464038987	7.3728026749873	36.048232717246286	46.0	64.09320547090032	84	36.36363636363637	2.973039
O22D1	1.259544	37.949891622872904	6.020597872740969	47.451377506752266	46.0	51.573359873719745	20	45.45454545454545	3.318967
O22D2	0.981386	29.321178444951496	6.225616331111405	40.69678240783606	46.0	53.938699237710416	20	27.27272727272727	3.347022
O22D3	1.111935	32.20108435960983	6.464632386431567	52.59243889713124	45.0	57.52860879459291	84	54.54545454545454	3.453099
O22D4	0.841784	26.36677259933459	6.84974707395605	36.15747500237866	47.0	58.37905888470038	84	27.27272727272727	3.192595
O22D5	0.9809289999999999	29.334448581602174	6.597226249441221	43.167552778416784	45.0	60.036133016342944	84	45.45454545454545	3.34395
O22D6	1.054932	30.035481165258183	6.352830385135855	40.56265290508443	46.0	53.61347361036452	20	27.27272727272727	3.512288
O22D7	0.9740979999999999	26.405983959029843	6.42337864647439	53.59594795099902	44.0	62.39742605509621	84	45.45454545454545	3.688929
O22D8	0.754728	22.57671970966943	7.333210379620551	29.944026542635243	46.0	63.478177943539656	84	18.181818181818183	3.342948
highN4A1	0.5816479999999999	26.090240740657674	4.9425870832025485	40.98448069638041	46.0	58.89284857222187	84	27.27272727272727	2.229373
highN4A2	0.644817	29.480893017080454	5.01759989420824	39.74412838885336	46.0	59.60139362977417	84	27.27272727272727	2.187238
highN4A3	0.841541	33.919673742090836	4.946574837997483	42.36908836023894	46.0	58.834542663867246	84	27.27272727272727	2.480987
highN4A4	0.866649	33.394703774590404	5.011836979397264	43.423254109381425	47.0	59.040996543579034	84	36.36363636363637	2.59517
highN4A5	0.48109599999999997	25.08529122070078	5.018749148098943	38.88346686916331	46.0	59.986387571871106	84	27.27272727272727	1.917843
highN4A6	0.680063	30.982905398817838	4.860407184408494	42.22405528545905	46.0	58.08685025071049	84	18.181818181818183	2.194962
highN4A7	0.7828769999999999	33.46789569713935	4.994629503989429	42.037012620819006	46.0	59.14570611682345	84	18.181818181818183	2.339188
highN4A8	0.7542599999999999	33.40638276009907	4.973652570209612	43.300162823117574	47.0	58.955475670698405	84	36.36363636363637	2.2578329999999998
highN4B1	0.651308	30.71978597821483	5.796621725191291	39.916652880273375	46.0	61.41562798621612	84	27.27272727272727	2.120158
highN4B2	0.725437	30.116515994898634	5.871280000347514	38.15257104713729	46.0	61.99498000637671	84	18.181818181818183	2.408768
highN4B3	0.717308	27.493578004156376	5.780637541281203	37.86203251577365	46.0	61.26328927180229	84	27.27272727272727	2.609003
highN4B4	0.612009	22.85558396278628	5.890099522918365	36.294330505676896	46.0	62.518795806141405	84	27.27272727272727	2.6777249999999997
highN4B5	0.86364	29.7860408714807	5.859336447347865	39.80496663992283	47.0	61.96448779471643	84	27.27272727272727	2.899482
highN4B6	0.7231949999999999	31.118237642226433	5.7434335882245815	39.63450618457841	46.0	60.47337205925065	84	27.27272727272727	2.324025
highN4B7	0.664353	26.25748622510866	5.804411860025851	37.38323251546029	46.0	61.613214803045665	84	27.27272727272727	2.5301549999999997
highN4B8	0.555402	23.309207229605356	5.85481328184313	36.18777915284904	46.0	62.21481715104213	84	27.27272727272727	2.382759
highN4C1	0.638247	28.298516277321	5.748673831334484	37.824878402033136	46.0	61.09968289607398	84	27.27272727272727	2.2554119999999998
highN4C2	0.7192449999999999	30.601859908242712	5.755917718404895	41.6076609826898	47.0	61.048060828801354	84	36.36363636363637	2.3503339999999997
