Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
LD1D7	(12.0, 6.0)	(13.0, 38.0)	(14.0, 155.0)	(15.0, 305.0)	(16.0, 981.0)	(17.0, 2110.0)	(18.0, 3699.0)	(19.0, 3789.0)	(20.0, 6556.0)	(21.0, 8352.0)	(22.0, 10672.0)	(23.0, 13901.0)	(24.0, 24681.0)	(25.0, 47964.0)	(26.0, 86905.0)	(27.0, 118163.0)	(28.0, 173263.0)	(29.0, 366419.0)	(30.0, 964472.0)	(31.0, 954634.0)	(32.0, 424199.0)	(33.0, 409884.0)	(34.0, 759871.0)
LD1D8	(12.0, 1.0)	(13.0, 18.0)	(14.0, 112.0)	(15.0, 216.0)	(16.0, 797.0)	(17.0, 1751.0)	(18.0, 3149.0)	(19.0, 3288.0)	(20.0, 5882.0)	(21.0, 7988.0)	(22.0, 10389.0)	(23.0, 13880.0)	(24.0, 26166.0)	(25.0, 51872.0)	(26.0, 95385.0)	(27.0, 131144.0)	(28.0, 199832.0)	(29.0, 439263.0)	(30.0, 1132090.0)	(31.0, 1080609.0)	(32.0, 460769.0)	(33.0, 418412.0)	(34.0, 739420.0)
LD1D9	(12.0, 1.0)	(13.0, 15.0)	(14.0, 85.0)	(15.0, 170.0)	(16.0, 609.0)	(17.0, 1424.0)	(18.0, 2677.0)	(19.0, 3018.0)	(20.0, 5390.0)	(21.0, 7567.0)	(22.0, 10000.0)	(23.0, 13497.0)	(24.0, 25147.0)	(25.0, 49419.0)	(26.0, 91886.0)	(27.0, 124595.0)	(28.0, 178265.0)	(29.0, 376638.0)	(30.0, 1027242.0)	(31.0, 1085065.0)	(32.0, 474022.0)	(33.0, 459673.0)	(34.0, 1035612.0)
O22A1	(12.0, 5.0)	(13.0, 26.0)	(14.0, 106.0)	(15.0, 200.0)	(16.0, 672.0)	(17.0, 1458.0)	(18.0, 2692.0)	(19.0, 2924.0)	(20.0, 5043.0)	(21.0, 7175.0)	(22.0, 9434.0)	(23.0, 11907.0)	(24.0, 21965.0)	(25.0, 41690.0)	(26.0, 73772.0)	(27.0, 93286.0)	(28.0, 127015.0)	(29.0, 258952.0)	(30.0, 675711.0)	(31.0, 671113.0)	(32.0, 391138.0)	(33.0, 467544.0)	(34.0, 1012647.0)
O22A2	(12.0, 2.0)	(13.0, 20.0)	(14.0, 123.0)	(15.0, 219.0)	(16.0, 722.0)	(17.0, 1557.0)	(18.0, 2823.0)	(19.0, 3062.0)	(20.0, 5459.0)	(21.0, 7444.0)	(22.0, 9460.0)	(23.0, 12340.0)	(24.0, 21983.0)	(25.0, 41898.0)	(26.0, 74257.0)	(27.0, 95242.0)	(28.0, 127434.0)	(29.0, 244994.0)	(30.0, 676940.0)	(31.0, 790552.0)	(32.0, 411076.0)	(33.0, 448086.0)	(34.0, 1010645.0)
O22A3	(13.0, 11.0)	(14.0, 78.0)	(15.0, 130.0)	(16.0, 416.0)	(17.0, 960.0)	(18.0, 1745.0)	(19.0, 1873.0)	(20.0, 3457.0)	(21.0, 4875.0)	(22.0, 6319.0)	(23.0, 8339.0)	(24.0, 16009.0)	(25.0, 30926.0)	(26.0, 57075.0)	(27.0, 76155.0)	(28.0, 105545.0)	(29.0, 213555.0)	(30.0, 602295.0)	(31.0, 686853.0)	(32.0, 309934.0)	(33.0, 305779.0)	(34.0, 720271.0)	
O22A4	(12.0, 7.0)	(13.0, 11.0)	(14.0, 81.0)	(15.0, 165.0)	(16.0, 612.0)	(17.0, 1208.0)	(18.0, 2169.0)	(19.0, 2313.0)	(20.0, 3969.0)	(21.0, 5202.0)	(22.0, 6341.0)	(23.0, 7690.0)	(24.0, 13661.0)	(25.0, 26193.0)	(26.0, 50128.0)	(27.0, 70032.0)	(28.0, 96443.0)	(29.0, 189737.0)	(30.0, 521785.0)	(31.0, 599691.0)	(32.0, 255446.0)	(33.0, 237055.0)	(34.0, 666790.0)
O22A5	(12.0, 1.0)	(13.0, 12.0)	(14.0, 76.0)	(15.0, 148.0)	(16.0, 531.0)	(17.0, 1187.0)	(18.0, 2168.0)	(19.0, 2337.0)	(20.0, 4055.0)	(21.0, 5521.0)	(22.0, 7049.0)	(23.0, 9643.0)	(24.0, 17389.0)	(25.0, 33688.0)	(26.0, 62317.0)	(27.0, 84310.0)	(28.0, 122636.0)	(29.0, 258361.0)	(30.0, 686043.0)	(31.0, 704587.0)	(32.0, 326203.0)	(33.0, 311637.0)	(34.0, 607149.0)
O22A6	(12.0, 4.0)	(13.0, 20.0)	(14.0, 112.0)	(15.0, 178.0)	(16.0, 641.0)	(17.0, 1405.0)	(18.0, 2494.0)	(19.0, 2614.0)	(20.0, 4580.0)	(21.0, 6036.0)	(22.0, 7875.0)	(23.0, 10416.0)	(24.0, 18630.0)	(25.0, 35138.0)	(26.0, 61599.0)	(27.0, 79307.0)	(28.0, 107958.0)	(29.0, 216112.0)	(30.0, 571532.0)	(31.0, 580135.0)	(32.0, 318515.0)	(33.0, 372042.0)	(34.0, 794692.0)
O22A7	(12.0, 2.0)	(13.0, 35.0)	(14.0, 114.0)	(15.0, 198.0)	(16.0, 706.0)	(17.0, 1502.0)	(18.0, 2669.0)	(19.0, 2887.0)	(20.0, 5001.0)	(21.0, 6722.0)	(22.0, 8648.0)	(23.0, 11064.0)	(24.0, 20294.0)	(25.0, 39301.0)	(26.0, 72549.0)	(27.0, 98993.0)	(28.0, 143975.0)	(29.0, 307544.0)	(30.0, 822518.0)	(31.0, 817266.0)	(32.0, 357988.0)	(33.0, 346017.0)	(34.0, 688815.0)
O22A8	(12.0, 2.0)	(13.0, 14.0)	(14.0, 68.0)	(15.0, 101.0)	(16.0, 371.0)	(17.0, 874.0)	(18.0, 1598.0)	(19.0, 1637.0)	(20.0, 3115.0)	(21.0, 4187.0)	(22.0, 5453.0)	(23.0, 7373.0)	(24.0, 13659.0)	(25.0, 26876.0)	(26.0, 52392.0)	(27.0, 74771.0)	(28.0, 112704.0)	(29.0, 250957.0)	(30.0, 665090.0)	(31.0, 645363.0)	(32.0, 241439.0)	(33.0, 215522.0)	(34.0, 485387.0)
O22B1	(13.0, 29.0)	(14.0, 149.0)	(15.0, 244.0)	(16.0, 849.0)	(17.0, 1830.0)	(18.0, 3151.0)	(19.0, 3428.0)	(20.0, 5814.0)	(21.0, 7538.0)	(22.0, 9096.0)	(23.0, 11074.0)	(24.0, 19111.0)	(25.0, 35323.0)	(26.0, 64282.0)	(27.0, 84321.0)	(28.0, 111546.0)	(29.0, 217409.0)	(30.0, 571311.0)	(31.0, 586513.0)	(32.0, 313738.0)	(33.0, 380454.0)	(34.0, 1128852.0)	
O22B2	(12.0, 3.0)	(13.0, 43.0)	(14.0, 154.0)	(15.0, 278.0)	(16.0, 975.0)	(17.0, 2077.0)	(18.0, 3622.0)	(19.0, 3770.0)	(20.0, 6189.0)	(21.0, 8224.0)	(22.0, 9962.0)	(23.0, 12256.0)	(24.0, 21077.0)	(25.0, 39546.0)	(26.0, 71492.0)	(27.0, 93637.0)	(28.0, 124218.0)	(29.0, 236437.0)	(30.0, 651658.0)	(31.0, 758781.0)	(32.0, 388830.0)	(33.0, 424925.0)	(34.0, 956771.0)
O22B3	(12.0, 3.0)	(13.0, 19.0)	(14.0, 93.0)	(15.0, 181.0)	(16.0, 651.0)	(17.0, 1372.0)	(18.0, 2522.0)	(19.0, 2592.0)	(20.0, 4542.0)	(21.0, 6127.0)	(22.0, 7777.0)	(23.0, 10254.0)	(24.0, 18613.0)	(25.0, 36730.0)	(26.0, 66349.0)	(27.0, 86415.0)	(28.0, 118931.0)	(29.0, 239701.0)	(30.0, 668741.0)	(31.0, 758292.0)	(32.0, 354831.0)	(33.0, 355098.0)	(34.0, 746194.0)
O22B4	(12.0, 2.0)	(13.0, 35.0)	(14.0, 179.0)	(15.0, 291.0)	(16.0, 1069.0)	(17.0, 2203.0)	(18.0, 3644.0)	(19.0, 3504.0)	(20.0, 6198.0)	(21.0, 7747.0)	(22.0, 9533.0)	(23.0, 11450.0)	(24.0, 20198.0)	(25.0, 37920.0)	(26.0, 68556.0)	(27.0, 92337.0)	(28.0, 127896.0)	(29.0, 252338.0)	(30.0, 681116.0)	(31.0, 754679.0)	(32.0, 354702.0)	(33.0, 340540.0)	(34.0, 684925.0)
O22B5	(12.0, 5.0)	(13.0, 24.0)	(14.0, 102.0)	(15.0, 217.0)	(16.0, 764.0)	(17.0, 1614.0)	(18.0, 2628.0)	(19.0, 2715.0)	(20.0, 4664.0)	(21.0, 5810.0)	(22.0, 7047.0)	(23.0, 8749.0)	(24.0, 15450.0)	(25.0, 30021.0)	(26.0, 57356.0)	(27.0, 80612.0)	(28.0, 114287.0)	(29.0, 239619.0)	(30.0, 650598.0)	(31.0, 675336.0)	(32.0, 281517.0)	(33.0, 261890.0)	(34.0, 624772.0)
O22B6	(12.0, 3.0)	(13.0, 29.0)	(14.0, 181.0)	(15.0, 247.0)	(16.0, 941.0)	(17.0, 2154.0)	(18.0, 3618.0)	(19.0, 3653.0)	(20.0, 6349.0)	(21.0, 8094.0)	(22.0, 9631.0)	(23.0, 11937.0)	(24.0, 20756.0)	(25.0, 38695.0)	(26.0, 69097.0)	(27.0, 90282.0)	(28.0, 120824.0)	(29.0, 235386.0)	(30.0, 625540.0)	(31.0, 644843.0)	(32.0, 345629.0)	(33.0, 401015.0)	(34.0, 927452.0)
O22B7	(12.0, 2.0)	(13.0, 34.0)	(14.0, 155.0)	(15.0, 245.0)	(16.0, 935.0)	(17.0, 2010.0)	(18.0, 3329.0)	(19.0, 3383.0)	(20.0, 5774.0)	(21.0, 7108.0)	(22.0, 8652.0)	(23.0, 11097.0)	(24.0, 19466.0)	(25.0, 37529.0)	(26.0, 68582.0)	(27.0, 93574.0)	(28.0, 134388.0)	(29.0, 281225.0)	(30.0, 752175.0)	(31.0, 748206.0)	(32.0, 331788.0)	(33.0, 321791.0)	(34.0, 623684.0)
