Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
O22A7	(1.0, 62.3340257985743)	(2.0, 2.2750225309375023)	(3.0, 1.0059818504550266)	(4.0, 0.7420410391900433)	(5.0, 0.6503201696059909)	(6.0, 0.5620840954465824)	(7.0, 0.49564875359670074)	(8.0, 0.4870912864004689)	(9.0, 0.4292980505296704)	('>10', 8.78250495988989)	('>50', 4.114224845616743)	('>100', 8.460877767830938)	('>500', 2.249599181075705)	('>1k', 3.1472972585044836)	('>5k', 1.408907589298458)	('>10k+', 2.8550748230475342)
O22A8	(1.0, 49.47888024871816)	(2.0, 4.331580336215746)	(3.0, 2.2976791397978658)	(4.0, 1.6632485094356286)	(5.0, 1.3456010767077682)	(6.0, 1.078298010688733)	(7.0, 0.859834671727714)	(8.0, 0.7276402656189703)	(9.0, 0.7007632471673836)	('>10', 8.955262198034072)	('>50', 3.6464322088703414)	('>100', 5.8799648120914005)	('>500', 1.5168337713201818)	('>1k', 3.1879131881642846)	('>5k', 1.0982814061656063)	('>10k+', 13.231786909276197)
O22B1	(1.0, 39.49871805816549)	(2.0, 2.921884814288742)	(3.0, 1.524424843540156)	(4.0, 1.1198932667737571)	(5.0, 0.8358168413528827)	(6.0, 0.6895235454531621)	(7.0, 0.6066800901356344)	(8.0, 0.5360718650222259)	(9.0, 0.47218286740853205)	('>10', 8.119234862343752)	('>50', 3.9127888875344055)	('>100', 7.468953087779476)	('>500', 2.425602296546489)	('>1k', 4.051886020940701)	('>5k', 2.0148222209230444)	('>10k+', 23.801516431791526)
O22B2	(1.0, 55.49197894174714)	(2.0, 1.8469143534825598)	(3.0, 0.8820941723460899)	(4.0, 0.6951654053038712)	(5.0, 0.5621508521504506)	(6.0, 0.49999175272328394)	(7.0, 0.4732026982677663)	(8.0, 0.4652867207681957)	(9.0, 0.3869959427089698)	('>10', 9.07516595767673)	('>50', 5.099604200036638)	('>100', 11.060999411565197)	('>500', 2.9512986683329427)	('>1k', 4.176091682232632)	('>5k', 1.2853721596692773)	('>10k+', 5.047687080988317)
O22B3	(1.0, 62.62260805337503)	(2.0, 1.165101537831628)	(3.0, 0.6631852801545854)	(4.0, 0.5394572663287003)	(5.0, 0.5695022184783394)	(6.0, 0.5243145239392405)	(7.0, 0.5106522809772864)	(8.0, 0.46434107557639304)	(9.0, 0.4664770712169839)	('>10', 14.240452716639885)	('>50', 7.862396206813006)	('>100', 7.968525307820029)	('>500', 0.6841300656532793)	('>1k', 1.1713919499982721)	('>5k', 0.5474644451973794)	('>10k+', 0.0)
O22B4	(1.0, 63.71412018286847)	(2.0, 1.1086489958523762)	(3.0, 0.6691264478213451)	(4.0, 0.6294136861963882)	(5.0, 0.5872074234799978)	(6.0, 0.537951413588551)	(7.0, 0.5579232959163551)	(8.0, 0.45786569204193245)	(9.0, 0.523878861040648)	('>10', 14.296933824624547)	('>50', 7.702396029820253)	('>100', 7.479255249989316)	('>500', 0.6582121344341637)	('>1k', 0.5831695645069731)	('>5k', 0.4938971978186728)	('>10k+', 0.0)
O22B5	(1.0, 46.597834668061786)	(2.0, 4.304437033678359)	(3.0, 2.342360684896929)	(4.0, 1.6479018639181306)	(5.0, 1.2888188325426069)	(6.0, 1.0075588678814984)	(7.0, 0.8873984790568841)	(8.0, 0.7520281254091109)	(9.0, 0.6157879324395609)	('>10', 8.806840275064356)	('>50', 3.0201599201103697)	('>100', 5.162682526846289)	('>500', 1.8254811660071049)	('>1k', 4.577185895572077)	('>5k', 1.1484557691064414)	('>10k+', 16.015067959408462)
O22B6	(1.0, 52.15271805362063)	(2.0, 2.0930090490923794)	(3.0, 1.0253993816521996)	(4.0, 0.7751435157211255)	(5.0, 0.6288417939063273)	(6.0, 0.5613846098084276)	(7.0, 0.519349453008861)	(8.0, 0.4847906983696508)	(9.0, 0.46854719737717326)	('>10', 9.898259972021052)	('>50', 5.3668910795907285)	('>100', 10.61960048198801)	('>500', 3.155292612813612)	('>1k', 4.128194946117861)	('>5k', 1.6607126030914552)	('>10k+', 6.461864551820487)
O22B7	(1.0, 65.75054535174017)	(2.0, 1.3134832071632327)	(3.0, 0.7302312396553522)	(4.0, 0.6511002644988053)	(5.0, 0.5976518657511234)	(6.0, 0.5321583066185137)	(7.0, 0.5789352582126919)	(8.0, 0.5104858871317424)	(9.0, 0.5456395689136346)	('>10', 13.477242836535314)	('>50', 6.423920498884119)	('>100', 6.1748749474035645)	('>500', 0.6367783161258406)	('>1k', 1.3129199820861441)	('>5k', 0.3365058860490538)	('>10k+', 0.42752658323074855)
O22B8	(1.0, 65.59226810353273)	(2.0, 1.3245193199028469)	(3.0, 0.8850323271723781)	(4.0, 0.7892725220322541)	(5.0, 0.7374551055425851)	(6.0, 0.7054456969177747)	(7.0, 0.652016428298526)	(8.0, 0.6461963643322262)	(9.0, 0.5849614611597147)	('>10', 14.537389308857227)	('>50', 6.299433350389955)	('>100', 5.941437022601207)	('>500', 0.4953207341492726)	('>1k', 0.536004633221299)	('>5k', 0.27324762188987933)	('>10k+', 0.0)
O22C1	(1.0, 53.31890383314444)	(2.0, 1.1144577857730629)	(3.0, 0.647036108770166)	(4.0, 0.6217249475373001)	(5.0, 0.5972214903435212)	(6.0, 0.5629497825460297)	(7.0, 0.5688058955311427)	(8.0, 0.5315347028680373)	(9.0, 0.5836587854759328)	('>10', 18.47824393661563)	('>50', 10.511694519728056)	('>100', 9.523543391002914)	('>500', 0.8410244880616943)	('>1k', 1.2886077616796399)	('>5k', 0.4184221398317197)	('>10k+', 0.39217043109067906)
O22C2	(1.0, 39.39239812364638)	(2.0, 3.4489485121856345)	(3.0, 1.902557723214237)	(4.0, 1.364245702645476)	(5.0, 1.0754516596558867)	(6.0, 0.8666368120515524)	(7.0, 0.7467797581818152)	(8.0, 0.7111282503688945)	(9.0, 0.5671889949117284)	('>10', 9.242368053731754)	('>50', 3.515474726872863)	('>100', 5.644216295090286)	('>500', 1.724182188074899)	('>1k', 3.0345535652102655)	('>5k', 1.8488627713081789)	('>10k+', 24.91500686285016)
O22C3	(1.0, 61.04242099634877)	(2.0, 1.191886556074603)	(3.0, 0.7348212569345175)	(4.0, 0.6565553570014842)	(5.0, 0.6964792262085618)	(6.0, 0.6600164873023225)	(7.0, 0.6145264143653617)	(8.0, 0.6457141738427817)	(9.0, 0.5720537060780373)	('>10', 16.729267666927566)	('>50', 7.965129361271243)	('>100', 6.8339347761597224)	('>500', 0.6408221107548828)	('>1k', 0.5737145321350265)	('>5k', 0.44265737859507165)	('>10k+', 0.0)
O22C4	(1.0, 57.39996500426508)	(2.0, 2.541429802591324)	(3.0, 1.3244571188080605)	(4.0, 0.9804162985201037)	(5.0, 0.8017354297676302)	(6.0, 0.7268124806182037)	(7.0, 0.594162849107894)	(8.0, 0.5530402081320374)	(9.0, 0.5377963323332577)	('>10', 9.863560574456894)	('>50', 4.826879839054079)	('>100', 7.82138163861934)	('>500', 1.8832437003811608)	('>1k', 3.1057059031367524)	('>5k', 1.4442364513821957)	('>10k+', 5.595176368826067)
O22C5	(1.0, 65.46934717895425)	(2.0, 1.2772694562229854)	(3.0, 0.7089004622076934)	(4.0, 0.6536530494416634)	(5.0, 0.6302226768279267)	(6.0, 0.5874530949656531)	(7.0, 0.5503563685139111)	(8.0, 0.5306167777853465)	(9.0, 0.5493504454774456)	('>10', 13.91975771204009)	('>50', 6.8628984605036605)	('>100', 6.292657722049025)	('>500', 0.5867214359719957)	('>1k', 0.7874077747189019)	('>5k', 0.5933873843195561)	('>10k+', 0.0)
