task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
193	b1/89cacf	1467188	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D7)	COMPLETED	0	2024-11-10 12:12:37.147	23.9s	23s	510.4%	201.9 MB	2.7 GB	1.7 GB	1.7 GB
194	12/fd2acc	1469857	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D5)	COMPLETED	0	2024-11-10 12:13:01.040	22.7s	22s	504.5%	203.7 MB	2.7 GB	1.5 GB	1.5 GB
196	c3/b110bc	1472409	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A8)	COMPLETED	0	2024-11-10 12:13:23.770	11.6s	11s	583.2%	622.8 MB	5 GB	557.7 MB	517.4 MB
195	3d/c5e0c6	1473708	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A8)	COMPLETED	0	2024-11-10 12:13:35.419	13.6s	11s	123.8%	710.2 MB	5.4 GB	103.5 MB	2.8 MB
197	c9/f1f7ac	1474550	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A2)	COMPLETED	0	2024-11-10 12:13:49.048	12.4s	12s	124.8%	764.5 MB	5.6 GB	101.6 MB	2.8 MB
198	68/af4254	1475366	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A2)	COMPLETED	0	2024-11-10 12:14:01.484	15.8s	15s	390.9%	591 MB	5 GB	541.8 MB	503.4 MB
199	12/a06cc1	1476606	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A1)	COMPLETED	0	2024-11-10 12:14:17.322	11.7s	10s	122.8%	764.3 MB	5.4 GB	102.5 MB	2.7 MB
200	b2/a275cf	1477364	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A1)	COMPLETED	0	2024-11-10 12:14:29.013	15.6s	15s	386.4%	596 MB	5 GB	543.2 MB	505 MB
201	c8/a21f7f	1478617	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A3)	COMPLETED	0	2024-11-10 12:14:44.617	16.5s	15s	92.7%	672.3 MB	5.4 GB	112.3 MB	2.7 MB
202	37/44aaa7	1479439	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A3)	COMPLETED	0	2024-11-10 12:15:01.151	14s	12s	533.7%	685.1 MB	5 GB	613.1 MB	570.5 MB
203	a4/b36bb5	1480724	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A4)	COMPLETED	0	2024-11-10 12:15:15.147	12.9s	12s	582.5%	698.8 MB	5 GB	639.2 MB	594.8 MB
204	30/3e48d6	1482128	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A4)	COMPLETED	0	2024-11-10 12:15:28.049	12.6s	11s	117.6%	751.9 MB	5.4 GB	117.2 MB	2.7 MB
206	a5/d99dfa	1482934	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B1)	COMPLETED	0	2024-11-10 12:15:40.672	11.7s	11s	121.4%	698.7 MB	5.4 GB	100.7 MB	2.8 MB
205	e5/e880ab	1483705	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B1)	COMPLETED	0	2024-11-10 12:15:52.386	10.7s	9s	572.5%	580.1 MB	5 GB	533.2 MB	494.1 MB
207	bc/8a2261	1484818	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A6)	COMPLETED	0	2024-11-10 12:16:03.079	11.5s	10s	119.0%	732.6 MB	5.4 GB	100.1 MB	2.7 MB
208	1e/bca89f	1485570	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A6)	COMPLETED	0	2024-11-10 12:16:14.607	10.5s	9s	579.7%	592.2 MB	5 GB	538 MB	499.9 MB
210	37/832845	1486713	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B2)	COMPLETED	0	2024-11-10 12:16:25.141	12.5s	11s	117.0%	756 MB	5.5 GB	113.8 MB	2.8 MB
209	a7/365ee5	1487525	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B2)	COMPLETED	0	2024-11-10 12:16:37.623	11.7s	11s	576.9%	662.8 MB	5 GB	607.7 MB	565.1 MB
212	e8/58fb10	1488743	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A7)	COMPLETED	0	2024-11-10 12:16:49.344	12.6s	11s	116.3%	766.5 MB	5.4 GB	107 MB	2.8 MB
211	56/4d3950	1489553	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A7)	COMPLETED	0	2024-11-10 12:17:01.938	11.3s	10s	578.4%	643.2 MB	5 GB	579.9 MB	538.8 MB
214	4b/9f0b92	1490779	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4A5)	COMPLETED	0	2024-11-10 12:17:13.202	10.6s	9s	121.6%	730.2 MB	5.4 GB	91 MB	2.8 MB
213	00/4b27dc	1491480	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4A5)	COMPLETED	0	2024-11-10 12:17:23.801	13.9s	13s	385.8%	518.8 MB	5 GB	473.1 MB	438.2 MB
215	ff/a07471	1492611	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B4)	COMPLETED	0	2024-11-10 12:17:37.714	16.5s	16s	99.6%	661.1 MB	5.4 GB	126 MB	2.8 MB
216	1a/0d87e7	1493434	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B4)	COMPLETED	0	2024-11-10 12:17:54.227	18.5s	16s	437.9%	731 MB	5 GB	666.3 MB	621.9 MB
218	93/25e0fd	1494872	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B3)	COMPLETED	0	2024-11-10 12:18:12.724	12.5s	11s	122.7%	739.2 MB	5.4 GB	121.1 MB	2.8 MB
217	76/1fec9b	1495684	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B3)	COMPLETED	0	2024-11-10 12:18:25.206	11.9s	11s	584.8%	703.3 MB	5 GB	649.8 MB	606 MB
220	39/897cc1	1496980	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B5)	COMPLETED	0	2024-11-10 12:18:37.147	15.7s	14s	118.8%	647.1 MB	5.4 GB	133.9 MB	2.8 MB
219	55/75faf9	1497808	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B5)	COMPLETED	0	2024-11-10 12:18:52.851	13.6s	13s	580.3%	784.6 MB	5 GB	726.3 MB	677.4 MB
222	63/cdafca	1499178	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B8)	COMPLETED	0	2024-11-10 12:19:06.478	12.5s	11s	116.2%	741.3 MB	5.6 GB	113.1 MB	2.8 MB
221	14/d2e5b6	1500002	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B8)	COMPLETED	0	2024-11-10 12:19:18.959	11.3s	11s	577.0%	663 MB	5 GB	593.8 MB	552.9 MB
223	61/8381cc	1501299	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B6)	COMPLETED	0	2024-11-10 12:19:30.313	11.7s	11s	577.3%	646.6 MB	5 GB	580.4 MB	539.6 MB
224	b9/017fa2	1502599	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B6)	COMPLETED	0	2024-11-10 12:19:42.008	11.5s	10s	130.8%	657.5 MB	5.4 GB	108.3 MB	2.8 MB
225	73/4445a8	1503362	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4B7)	COMPLETED	0	2024-11-10 12:19:53.554	13.3s	12s	112.8%	689.7 MB	5.4 GB	118.3 MB	2.8 MB
226	0c/2f509a	1504166	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4B7)	COMPLETED	0	2024-11-10 12:20:06.878	12.2s	11s	578.8%	683.8 MB	5 GB	630.7 MB	587.9 MB
228	23/c1f927	1505448	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4C1)	COMPLETED	0	2024-11-10 12:20:19.040	11.5s	10s	129.7%	690.4 MB	5.4 GB	106.1 MB	2.8 MB
227	da/de8bbb	1506205	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4C1)	COMPLETED	0	2024-11-10 12:20:30.540	10.7s	10s	578.7%	612.1 MB	5 GB	564.2 MB	524.5 MB
230	ad/6566b2	1507352	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4C6)	COMPLETED	0	2024-11-10 12:20:41.267	9.5s	8s	126.1%	697.2 MB	5.4 GB	83.8 MB	2.8 MB
229	97/eaf02d	1507992	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4C6)	COMPLETED	0	2024-11-10 12:20:50.744	8.9s	8s	573.7%	477.6 MB	5 GB	437.1 MB	402.6 MB
231	e9/e93031	1508984	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4C3)	COMPLETED	0	2024-11-10 12:20:59.668	11.5s	10s	115.3%	762.3 MB	5.4 GB	96.9 MB	2.8 MB
232	bd/104fac	1509740	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4C3)	COMPLETED	0	2024-11-10 12:21:11.132	10s	9s	578.8%	556.3 MB	5 GB	507.6 MB	471.1 MB
233	a4/72be3d	1510885	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (highN4C2)	COMPLETED	0	2024-11-10 12:21:21.148	12.5s	11s	121.2%	751.8 MB	5.4 GB	109.6 MB	2.8 MB
234	9b/e2773b	1511698	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (highN4C2)	COMPLETED	0	2024-11-10 12:21:33.606	11.3s	10s	580.2%	638.7 MB	5 GB	586.1 MB	544 MB
